CMDLINE /usr/bin/python parallelRun.py
MEM 13.007812 1540048372.7631
MEM 13.007812 1540048372.8638
MEM 13.007812 1540048372.9641
MEM 13.007812 1540048373.0645
MEM 13.007812 1540048373.1648
MEM 13.007812 1540048373.2652
MEM 13.007812 1540048373.3655
MEM 13.007812 1540048373.4658
MEM 13.007812 1540048373.5661
MEM 13.007812 1540048373.6666
MEM 13.007812 1540048373.7672
MEM 13.007812 1540048373.8677
MEM 13.007812 1540048373.9684
MEM 13.007812 1540048374.0690
MEM 13.007812 1540048374.1697
MEM 13.007812 1540048374.2704
MEM 13.007812 1540048374.3710
MEM 13.007812 1540048374.4719
MEM 13.007812 1540048374.5725
MEM 13.007812 1540048374.6732
MEM 13.007812 1540048374.7736
MEM 13.007812 1540048374.8743
MEM 13.007812 1540048374.9749
MEM 13.007812 1540048375.0753
MEM 13.007812 1540048375.1759
MEM 13.007812 1540048375.2763
MEM 13.007812 1540048375.3770
MEM 13.007812 1540048375.4777
MEM 13.007812 1540048375.5782
MEM 13.007812 1540048375.6788
MEM 13.007812 1540048375.7793
MEM 13.007812 1540048375.8800
MEM 13.007812 1540048375.9805
MEM 13.007812 1540048376.0814
MEM 13.007812 1540048376.1820
MEM 13.007812 1540048376.2827
MEM 13.007812 1540048376.3833
MEM 13.007812 1540048376.4838
MEM 13.007812 1540048376.5844
MEM 13.007812 1540048376.6852
MEM 13.007812 1540048376.7856
MEM 13.007812 1540048376.8860
MEM 13.007812 1540048376.9866
MEM 13.007812 1540048377.0873
MEM 13.007812 1540048377.1879
MEM 13.007812 1540048377.2883
MEM 13.007812 1540048377.3890
MEM 13.007812 1540048377.4896
MEM 13.007812 1540048377.5903
MEM 13.007812 1540048377.6909
MEM 13.007812 1540048377.7914
MEM 13.007812 1540048377.8919
MEM 13.007812 1540048377.9926
MEM 13.007812 1540048378.0935
MEM 13.007812 1540048378.1940
MEM 13.007812 1540048378.2946
MEM 13.007812 1540048378.3953
MEM 13.007812 1540048378.4957
MEM 13.007812 1540048378.5962
MEM 13.007812 1540048378.6969
MEM 13.007812 1540048378.7974
MEM 13.007812 1540048378.8980
MEM 13.007812 1540048378.9987
MEM 13.007812 1540048379.0992
MEM 13.007812 1540048379.1999
MEM 13.007812 1540048379.3004
MEM 13.007812 1540048379.4010
MEM 13.007812 1540048379.5016
MEM 13.007812 1540048379.6023
MEM 13.007812 1540048379.7029
MEM 13.007812 1540048379.8035
MEM 13.007812 1540048379.9042
MEM 13.007812 1540048380.0047
MEM 13.007812 1540048380.1053
MEM 13.007812 1540048380.2059
MEM 13.007812 1540048380.3066
MEM 13.007812 1540048380.4073
MEM 13.007812 1540048380.5079
MEM 13.007812 1540048380.6085
MEM 13.007812 1540048380.7091
MEM 13.007812 1540048380.8097
MEM 13.007812 1540048380.9103
MEM 13.007812 1540048381.0110
MEM 13.007812 1540048381.1116
MEM 13.007812 1540048381.2122
MEM 13.007812 1540048381.3129
MEM 13.007812 1540048381.4134
MEM 13.007812 1540048381.5140
MEM 13.007812 1540048381.6148
MEM 13.007812 1540048381.7155
MEM 13.007812 1540048381.8163
MEM 13.007812 1540048381.9168
MEM 13.007812 1540048382.0172
MEM 13.007812 1540048382.1176
MEM 13.007812 1540048382.2180
MEM 13.007812 1540048382.3186
MEM 13.007812 1540048382.4191
MEM 13.007812 1540048382.5196
